Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Power_W,Temp_Diff_K,Strain_Load,Machine failure,UDI,Product ID,TWF,HDF,PWF,OSF,RNF
L,298.8,309.1,1362,45.4,113,6475.3251138731375,10.300000000000011,5130.2,0,41,S50040,0.0,0.0,0.0,0.0,0.0
L,298.8,309.1,1368,50.8,115,7277.436550187684,10.300000000000011,5842.0,0,42,S50041,0.0,0.0,0.0,0.0,0.0
M,298.8,309.1,1368,49.1,117,7033.900287681404,10.300000000000011,5744.7,0,43,S50042,0.0,0.0,0.0,0.0,0.0
H,298.8,309.2,1372,48.5,120,6968.261945172401,10.399999999999975,5820.0,0,44,S50043,0.0,0.0,0.0,0.0,0.0
M,298.8,309.1,1472,47.5,125,7322.005277966611,10.300000000000011,5937.5,0,45,S50044,0.0,0.0,0.0,0.0,0.0
L,298.8,309.1,1489,49.1,128,7656.050824822814,10.300000000000011,6284.8,0,46,S50045,0.0,0.0,0.0,0.0,0.0
M,298.7,309.0,1843,25.8,130,4979.36152408675,10.300000000000011,3354.0,0,47,S50046,0.0,0.0,0.0,0.0,0.0
L,298.8,309.1,1418,46.3,133,6875.207970773071,10.300000000000011,6157.9,0,48,S50047,0.0,0.0,0.0,0.0,0.0
H,298.8,309.2,1425,53.9,135,8043.262591353267,10.399999999999975,7276.5,0,49,S50048,0.0,0.0,0.0,0.0,0.0
M,298.9,309.2,1412,44.1,140,6520.815375497118,10.300000000000011,6174.0,0,50,S50049,0.0,0.0,0.0,0.0,0.0
L,298.9,309.1,2861,4.6,143,1378.1748092277942,10.200000000000044,657.8,1,51,S50050,0.0,0.0,0.0,1.0,0.0
L,298.9,309.1,1383,54.9,145,7951.025431043872,10.200000000000044,7960.5,0,52,S50051,0.0,0.0,0.0,0.0,0.0
H,298.8,309.0,1497,43.8,147,6866.327735538924,10.199999999999989,6438.599999999999,0,53,S50052,0.0,0.0,0.0,0.0,0.0
L,298.7,309.0,1565,35.1,152,5752.413228355591,10.300000000000011,5335.2,0,54,S50053,0.0,0.0,0.0,0.0,0.0
L,298.7,309.0,1691,30.1,154,5330.141287811075,10.300000000000011,4635.400000000001,0,55,S50054,0.0,0.0,0.0,0.0,0.0
L,298.8,309.1,1512,40.7,156,6444.286178455672,10.300000000000011,6349.200000000001,0,56,S50055,0.0,0.0,0.0,0.0,0.0
L,298.8,309.1,1477,42.4,158,6558.053720417668,10.300000000000011,6699.2,0,57,S50056,0.0,0.0,0.0,0.0,0.0
L,298.8,309.1,1513,40.3,160,6385.171876690622,10.300000000000011,6448.0,0,58,S50057,0.0,0.0,0.0,0.0,0.0
M,298.8,309.0,1661,29.5,162,5131.21564098577,10.199999999999989,4779.0,0,59,S50058,0.0,0.0,0.0,0.0,0.0
L,298.8,309.1,1378,54.4,165,7850.127946986078,10.300000000000011,8976.0,0,60,S50059,0.0,0.0,0.0,0.0,0.0
L,298.8,309.1,1393,52.6,167,7673.004953176687,10.300000000000011,8784.2,0,61,S50060,0.0,0.0,0.0,0.0,0.0
M,298.8,309.0,1592,38.2,169,6368.469075749038,10.199999999999989,6455.8,0,62,S50061,0.0,0.0,0.0,0.0,0.0
L,298.8,309.0,1829,22.9,172,4386.092695407341,10.199999999999989,3938.8,0,63,S50062,0.0,0.0,0.0,0.0,0.0
M,298.9,309.0,1812,25.9,174,4914.581883569728,10.100000000000025,4506.599999999999,0,64,S50063,0.0,0.0,0.0,0.0,0.0
L,299.0,309.1,1523,38.6,177,6156.244020023535,10.100000000000025,6832.2,0,65,S50064,0.0,0.0,0.0,0.0,0.0
L,299.0,309.1,1394,45.1,179,6583.668172519939,10.100000000000025,8072.900000000001,0,66,S50065,0.0,0.0,0.0,0.0,0.0
M,298.9,308.9,1679,28.7,181,5046.162255877582,10.0,5194.7,0,67,S50066,0.0,0.0,0.0,0.0,0.0
H,298.8,308.9,1466,44.1,184,6770.195000339076,10.099999999999966,8114.400000000001,0,68,S50067,0.0,0.0,0.0,0.0,0.0
L,298.8,308.9,1527,32.4,189,5180.988940594142,10.099999999999966,6123.599999999999,0,69,S50068,0.0,0.0,0.0,0.0,0.0
L,298.9,309.0,1410,65.7,191,9700.923955019922,10.100000000000025,12548.7,1,70,S50069,0.0,0.0,1.0,0.0,0.0
M,298.9,309.0,1924,22.6,193,4553.466280015095,10.100000000000025,4361.8,0,71,S50070,0.0,0.0,0.0,0.0,0.0
L,298.9,309.1,1452,45.5,196,6918.415341735443,10.200000000000044,8918.0,0,72,S50071,0.0,0.0,0.0,0.0,0.0
L,298.9,309.1,1369,44.4,198,6365.243707291352,10.200000000000044,8791.199999999999,0,73,S50072,0.0,0.0,0.0,0.0,0.0
L,299.0,309.1,1592,35.0,200,5834.984755267443,10.100000000000025,7000.0,0,74,S50073,0.0,0.0,0.0,0.0,0.0
L,298.9,309.0,1601,32.3,202,5415.299392674381,10.100000000000025,6524.599999999999,0,75,S50074,0.0,0.0,0.0,0.0,0.0
L,298.8,308.9,1379,46.7,204,6743.878925877506,10.099999999999966,9526.8,0,76,S50075,0.0,0.0,0.0,0.0,0.0
L,298.8,308.9,1461,47.9,206,7328.487430808517,10.099999999999966,9867.4,0,77,S50076,0.0,0.0,0.0,0.0,0.0
L,298.8,308.9,1455,41.3,208,6292.767164773034,10.099999999999966,8590.4,1,78,S50077,0.0,0.0,1.0,0.0,0.0
L,298.8,308.9,1398,51.5,0,7539.508209350144,10.099999999999966,0.0,0,79,S50078,0.0,0.0,0.0,0.0,0.0
L,298.8,308.9,1402,37.9,2,5564.367964087218,10.099999999999966,75.8,0,80,S50079,0.0,0.0,0.0,0.0,0.0
H,298.8,308.8,1445,49.9,4,7550.870302780628,10.0,199.6,0,81,S50080,0.0,0.0,0.0,0.0,0.0
L,298.9,308.9,1450,47.5,9,7212.573133866566,10.0,427.5,0,82,S50081,0.0,0.0,0.0,0.0,0.0
L,298.9,308.9,1453,40.8,11,6208.038410905718,10.0,448.8,0,83,S50082,0.0,0.0,0.0,0.0,0.0
L,299.0,309.0,1469,40.1,13,6168.716142858287,10.0,521.3000000000001,0,84,S50083,0.0,0.0,0.0,0.0,0.0
L,298.9,308.9,1422,47.6,15,7088.187008735435,10.0,714.0,0,85,S50084,0.0,0.0,0.0,0.0,0.0
M,299.0,309.0,1804,26.8,17,5062.906944721215,10.0,455.6,0,86,S50085,0.0,0.0,0.0,0.0,0.0
H,299.0,309.0,1436,43.9,20,6601.575250645399,10.0,878.0,0,87,S50086,0.0,0.0,0.0,0.0,0.0
L,299.0,309.0,1544,31.8,25,5141.656200571199,10.0,795.0,0,88,S50087,0.0,0.0,0.0,0.0,0.0
M,299.0,309.0,1419,45.2,27,6716.599429668835,10.0,1220.4,0,89,S50088,0.0,0.0,0.0,0.0,0.0
M,298.9,308.9,1487,39.5,30,6150.871896585897,10.0,1185.0,0,90,S50089,0.0,0.0,0.0,0.0,0.0
L,298.9,308.9,1753,25.8,33,4736.2022526989,10.0,851.4,0,91,S50090,0.0,0.0,0.0,0.0,0.0
L,298.9,308.9,1830,24.9,35,4771.765081537536,10.0,871.5,0,92,S50091,0.0,0.0,0.0,0.0,0.0
M,298.9,308.9,1727,27.1,37,4901.062563183781,10.0,1002.7,0,93,S50092,0.0,0.0,0.0,0.0,0.0
L,299.1,309.0,1450,43.0,40,6529.2767317107855,9.899999999999975,1720.0,0,94,S50093,0.0,0.0,0.0,0.0,0.0
L,299.0,308.9,1622,31.9,42,5418.388625450412,9.899999999999975,1339.8,0,95,S50094,0.0,0.0,0.0,0.0,0.0
M,299.0,309.0,1351,52.2,44,7385.06751449967,10.0,2296.8,0,96,S50095,0.0,0.0,0.0,0.0,0.0
M,299.0,309.0,1575,35.3,47,5822.156585265284,10.0,1659.1,0,97,S50096,0.0,0.0,0.0,0.0,0.0
M,298.9,308.9,1750,29.9,50,5479.4611866361965,10.0,1495.0,0,98,S50097,0.0,0.0,0.0,0.0,0.0
L,298.9,308.8,1529,32.7,53,5235.809732399286,9.900000000000034,1733.1,0,99,S50098,0.0,0.0,0.0,0.0,0.0
L,298.8,308.8,1523,44.4,55,7081.275504897538,10.0,2442.0,0,100,S50099,0.0,0.0,0.0,0.0,0.0
L,298.8,308.9,1852,25.0,57,4848.524662040247,10.099999999999966,1425.0,0,101,S50100,0.0,0.0,0.0,0.0,0.0
L,298.8,308.8,1991,20.7,59,4315.888571575122,10.0,1221.3,0,102,S50101,0.0,0.0,0.0,0.0,0.0
L,298.8,308.8,1555,40.6,61,6611.272299969481,10.0,2476.6,0,103,S50102,0.0,0.0,0.0,0.0,0.0
M,298.8,308.8,1441,40.5,63,6111.497268660905,10.0,2551.5,0,104,S50103,0.0,0.0,0.0,0.0,0.0
L,298.8,308.7,1450,43.4,66,6590.014189680189,9.899999999999975,2864.4,0,105,S50104,0.0,0.0,0.0,0.0,0.0
L,298.8,308.7,1591,31.1,68,5181.543955296278,9.899999999999975,2114.8,0,106,S50105,0.0,0.0,0.0,0.0,0.0
L,298.8,308.7,1445,48.5,70,7339.022238173556,9.899999999999975,3395.0,0,107,S50106,0.0,0.0,0.0,0.0,0.0
M,298.8,308.8,1497,46.8,72,7336.6241557813155,10.0,3369.6,0,108,S50107,0.0,0.0,0.0,0.0,0.0
H,298.9,308.8,1621,32.7,75,5550.848643701271,9.900000000000034,2452.5,0,109,S50108,0.0,0.0,0.0,0.0,0.0
L,298.9,308.7,1572,34.1,80,5613.523417140386,9.800000000000011,2728.0,0,110,S50109,0.0,0.0,0.0,0.0,0.0
L,298.8,308.6,1872,22.5,82,4410.79608564007,9.800000000000011,1845.0,0,111,S50110,0.0,0.0,0.0,0.0,0.0
H,298.7,308.6,1499,43.5,84,6828.408712210094,9.900000000000034,3654.0,0,112,S50111,0.0,0.0,0.0,0.0,0.0
M,298.8,308.7,1498,39.5,89,6196.3726301853885,9.899999999999975,3515.5,0,113,S50112,0.0,0.0,0.0,0.0,0.0
M,298.8,308.6,1486,41.9,92,6520.208000917423,9.800000000000011,3854.8,0,114,S50113,0.0,0.0,0.0,0.0,0.0
L,298.8,308.6,1680,29.4,95,5172.318144870235,9.800000000000011,2793.0,0,115,S50114,0.0,0.0,0.0,0.0,0.0
L,298.8,308.6,1431,45.7,97,6848.326409633854,9.800000000000011,4432.900000000001,0,116,S50115,0.0,0.0,0.0,0.0,0.0
L,298.9,308.7,1564,34.1,99,5584.955867943743,9.800000000000011,3375.9,0,117,S50116,0.0,0.0,0.0,0.0,0.0
L,298.8,308.6,1599,33.0,101,5525.747318399087,9.800000000000011,3333.0,0,118,S50117,0.0,0.0,0.0,0.0,0.0
M,298.8,308.6,1707,28.1,103,5023.0610778981845,9.800000000000011,2894.3,0,119,S50118,0.0,0.0,0.0,0.0,0.0
L,298.7,308.5,1467,40.7,106,6252.491946954015,9.800000000000011,4314.200000000001,0,120,S50119,0.0,0.0,0.0,0.0,0.0
L,298.9,308.7,1433,44.7,108,6707.834386165318,9.800000000000011,4827.6,0,121,S50120,0.0,0.0,0.0,0.0,0.0
L,298.9,308.7,1558,41.2,110,6721.919193228913,9.800000000000011,4532.0,0,122,S50121,0.0,0.0,0.0,0.0,0.0
L,299.0,308.8,1310,50.7,112,6955.171975782443,9.800000000000011,5678.400000000001,0,123,S50122,0.0,0.0,0.0,0.0,0.0
L,298.9,308.7,1546,43.4,114,7026.31857741074,9.800000000000011,4947.599999999999,0,124,S50123,0.0,0.0,0.0,0.0,0.0
L,298.9,308.7,1727,29.4,116,5317.019902494581,9.800000000000011,3410.4,0,125,S50124,0.0,0.0,0.0,0.0,0.0
L,298.9,308.6,1560,32.2,118,5260.28273917075,9.700000000000044,3799.6,0,126,S50125,0.0,0.0,0.0,0.0,0.0
L,299.0,308.6,1329,60.5,120,8419.939550518684,9.600000000000025,7260.0,0,127,S50126,0.0,0.0,0.0,0.0,0.0
L,298.9,308.6,1413,46.5,122,6880.559150259685,9.700000000000044,5673.0,0,128,S50127,0.0,0.0,0.0,0.0,0.0
L,299.0,308.6,1587,38.6,124,6414.9437030711415,9.600000000000025,4786.400000000001,0,129,S50128,0.0,0.0,0.0,0.0,0.0
L,298.9,308.5,1559,34.3,126,5599.75276934215,9.600000000000025,4321.799999999999,0,130,S50129,0.0,0.0,0.0,0.0,0.0
L,298.8,308.4,1473,41.1,128,6339.765390870739,9.599999999999966,5260.8,0,131,S50130,0.0,0.0,0.0,0.0,0.0
L,298.8,308.4,1737,27.7,130,5038.580545606918,9.599999999999966,3601.0,0,132,S50131,0.0,0.0,0.0,0.0,0.0
M,298.7,308.4,1441,43.2,132,6518.930419904966,9.699999999999989,5702.400000000001,0,133,S50132,0.0,0.0,0.0,0.0,0.0
M,298.7,308.4,1430,49.6,135,7427.562791127229,9.699999999999989,6696.0,0,134,S50133,0.0,0.0,0.0,0.0,0.0
L,298.8,308.4,1369,53.0,138,7598.151272217155,9.599999999999966,7314.0,0,135,S50134,0.0,0.0,0.0,0.0,0.0
M,298.8,308.5,1711,28.5,140,5106.501778777529,9.699999999999989,3990.0,0,136,S50135,0.0,0.0,0.0,0.0,0.0
H,298.7,308.5,1420,45.7,143,6795.683788735201,9.800000000000011,6535.1,0,137,S50136,0.0,0.0,0.0,0.0,0.0
L,298.7,308.6,1297,55.3,148,7510.930188177989,9.900000000000034,8184.4,0,138,S50137,0.0,0.0,0.0,0.0,0.0
H,298.8,308.6,1449,49.4,150,7495.902903318319,9.800000000000011,7410.0,0,139,S50138,0.0,0.0,0.0,0.0,0.0
L,298.8,308.6,1268,55.8,155,7409.383441638454,9.800000000000011,8649.0,0,140,S50139,0.0,0.0,0.0,0.0,0.0
L,298.8,308.6,1511,36.1,157,5712.158954487593,9.800000000000011,5667.7,0,141,S50140,0.0,0.0,0.0,0.0,0.0
L,298.7,308.5,1544,35.2,159,5691.393027047366,9.800000000000011,5596.8,0,142,S50141,0.0,0.0,0.0,0.0,0.0
M,298.6,308.4,1778,28.2,161,5250.606633797693,9.799999999999956,4540.2,0,143,S50142,0.0,0.0,0.0,0.0,0.0
H,298.6,308.4,1407,50.5,164,7440.705120394746,9.799999999999956,8282.0,0,144,S50143,0.0,0.0,0.0,0.0,0.0
M,298.6,308.4,1391,42.4,169,6176.203605349342,9.799999999999956,7165.599999999999,0,145,S50144,0.0,0.0,0.0,0.0,0.0
L,298.5,308.4,1513,33.6,172,5323.617247067119,9.899999999999975,5779.2,0,146,S50145,0.0,0.0,0.0,0.0,0.0
H,298.5,308.4,1612,36.1,174,6093.977653629385,9.899999999999975,6281.400000000001,0,147,S50146,0.0,0.0,0.0,0.0,0.0
L,298.4,308.4,1515,40.1,179,6361.882203152011,10.0,7177.900000000001,0,148,S50147,0.0,0.0,0.0,0.0,0.0
M,298.3,308.3,1379,48.0,181,6931.61003088052,10.0,8688.0,0,149,S50148,0.0,0.0,0.0,0.0,0.0
L,298.4,308.3,1473,39.9,184,6154.662751721228,9.900000000000034,7341.599999999999,0,150,S50149,0.0,0.0,0.0,0.0,0.0
L,298.4,308.3,1422,42.7,186,6358.52069901267,9.900000000000034,7942.200000000001,0,151,S50150,0.0,0.0,0.0,0.0,0.0
M,298.4,308.2,1463,37.6,188,5760.508065426341,9.800000000000011,7068.8,0,152,S50151,0.0,0.0,0.0,0.0,0.0
M,298.4,308.2,1584,41.0,191,6800.919776491184,9.800000000000011,7831.0,0,153,S50152,0.0,0.0,0.0,0.0,0.0
L,298.4,308.2,1850,27.0,194,5230.751768227006,9.800000000000011,5238.0,0,154,S50153,0.0,0.0,0.0,0.0,0.0
L,298.4,308.2,1528,36.2,196,5792.426646786814,9.800000000000011,7095.200000000001,0,155,S50154,0.0,0.0,0.0,0.0,0.0
H,298.4,308.2,1987,19.8,198,4119.947437770727,9.800000000000011,3920.4,0,156,S50155,0.0,0.0,0.0,0.0,0.0
M,298.4,308.1,1495,46.0,203,7201.577559579003,9.700000000000044,9338.0,0,157,S50156,0.0,0.0,0.0,0.0,0.0
H,298.4,308.2,1478,43.5,206,6732.747215908285,9.800000000000011,8961.0,0,158,S50157,0.0,0.0,0.0,0.0,0.0
M,298.4,308.2,1499,40.0,211,6278.996516974799,9.800000000000011,8440.0,0,159,S50158,0.0,0.0,0.0,0.0,0.0
L,298.4,308.2,1471,47.0,214,7240.009709707918,9.800000000000011,10058.0,0,160,S50159,0.0,0.0,0.0,0.0,0.0
L,298.4,308.2,1282,60.7,216,8149.019072048613,9.800000000000011,13111.2,1,161,S50160,1.0,0.0,0.0,0.0,0.0
L,298.3,308.1,1412,52.3,218,7733.302588174586,9.800000000000011,11401.4,1,162,S50161,0.0,1.0,0.0,0.0,0.0
L,298.3,308.1,1586,35.5,0,5896.036372502204,9.800000000000011,0.0,0,163,S50162,0.0,0.0,0.0,0.0,0.0
M,298.4,308.2,1468,43.8,2,6733.312702585931,9.800000000000011,87.6,0,164,S50163,0.0,0.0,0.0,0.0,0.0
M,298.5,308.3,1440,43.6,5,6574.72510543272,9.800000000000011,218.0,0,165,S50164,0.0,0.0,0.0,0.0,0.0
L,298.5,308.4,1733,26.0,8,4718.4627261816295,9.899999999999975,208.0,0,166,S50165,0.0,0.0,0.0,0.0,0.0
H,298.4,308.2,1612,32.6,10,5503.148795244265,9.800000000000011,326.0,0,167,S50166,0.0,0.0,0.0,0.0,0.0
H,298.4,308.3,1458,42.9,15,6550.032187175502,9.900000000000034,643.5,0,168,S50167,0.0,0.0,0.0,0.0,0.0
L,298.4,308.3,1433,62.3,20,9348.950386087232,9.900000000000034,1246.0,1,169,S50168,0.0,0.0,1.0,0.0,0.0
L,298.4,308.3,1318,59.1,22,8157.019661339754,9.900000000000034,1300.2,0,170,S50169,0.0,0.0,0.0,0.0,0.0
M,298.4,308.2,1610,35.0,24,5900.958200992828,9.800000000000011,840.0,0,171,S50170,0.0,0.0,0.0,0.0,0.0
L,298.2,308.1,1462,50.8,27,7777.494324835084,9.900000000000034,1371.6,0,172,S50171,0.0,0.0,0.0,0.0,0.0
M,298.1,308.0,1924,20.8,29,4190.800824084688,9.899999999999975,603.2,0,173,S50172,0.0,0.0,0.0,0.0,0.0
M,298.2,308.0,1591,33.7,32,5614.727694324262,9.800000000000011,1078.4,0,174,S50173,0.0,0.0,0.0,0.0,0.0
L,298.2,308.1,1306,58.3,35,7973.341210859871,9.900000000000034,2040.5,0,175,S50174,0.0,0.0,0.0,0.0,0.0
L,298.2,308.1,1382,43.5,37,6295.437518528587,9.900000000000034,1609.5,0,176,S50175,0.0,0.0,0.0,0.0,0.0
L,298.2,308.1,1618,34.7,39,5879.4487632912505,9.900000000000034,1353.3000000000002,0,177,S50176,0.0,0.0,0.0,0.0,0.0
L,298.2,308.2,1988,21.4,41,4455.1134860067095,10.0,877.4,0,178,S50177,0.0,0.0,0.0,0.0,0.0
L,298.2,308.2,1436,50.2,43,7548.953931261937,10.0,2158.6,0,179,S50178,0.0,0.0,0.0,0.0,0.0
L,298.2,308.3,1304,49.8,45,6800.417121666609,10.100000000000025,2241.0,0,180,S50179,0.0,0.0,0.0,0.0,0.0
L,298.2,308.3,1475,49.9,47,7707.635776194757,10.100000000000025,2345.3,0,181,S50180,0.0,0.0,0.0,0.0,0.0
H,298.2,308.3,1824,24.2,49,4622.413766785878,10.100000000000025,1185.8,0,182,S50181,0.0,0.0,0.0,0.0,0.0
M,298.1,308.2,1342,48.1,54,6759.681136925062,10.099999999999966,2597.4,0,183,S50182,0.0,0.0,0.0,0.0,0.0
L,298.1,308.2,1485,40.7,57,6329.209639554678,10.099999999999966,2319.9,0,184,S50183,0.0,0.0,0.0,0.0,0.0
L,298.2,308.2,1667,30.6,59,5341.775652604868,10.0,1805.4,0,185,S50184,0.0,0.0,0.0,0.0,0.0
L,298.2,308.2,1446,38.2,61,5784.426057495672,10.0,2330.2000000000003,0,186,S50185,0.0,0.0,0.0,0.0,0.0
L,298.1,308.3,1301,56.0,63,7629.4624789979325,10.199999999999989,3528.0,0,187,S50186,0.0,0.0,0.0,0.0,0.0
L,298.2,308.4,1379,43.1,65,6224.008173561467,10.199999999999989,2801.5,0,188,S50187,0.0,0.0,0.0,0.0,0.0
L,298.3,308.5,1606,33.6,67,5650.845537865033,10.199999999999989,2251.2000000000003,0,189,S50188,0.0,0.0,0.0,0.0,0.0
M,298.3,308.4,1539,43.4,69,6994.504715805388,10.099999999999966,2994.6,0,190,S50189,0.0,0.0,0.0,0.0,0.0
L,298.2,308.4,1477,49.9,72,7718.086807755699,10.199999999999989,3592.8,0,191,S50190,0.0,0.0,0.0,0.0,0.0
L,298.2,308.4,1666,34.6,74,6036.423676215621,10.199999999999989,2560.4,0,192,S50191,0.0,0.0,0.0,0.0,0.0
H,298.2,308.4,1398,51.8,76,7583.42767464733,10.199999999999989,3936.8,0,193,S50192,0.0,0.0,0.0,0.0,0.0
H,298.2,308.4,1678,34.6,81,6079.903318541303,10.199999999999989,2802.6,0,194,S50193,0.0,0.0,0.0,0.0,0.0
M,298.2,308.5,2678,10.7,86,3000.702695051803,10.300000000000011,920.2,1,195,S50194,0.0,0.0,0.0,1.0,0.0
L,298.3,308.5,1453,42.9,89,6527.569799702336,10.199999999999989,3818.1,0,196,S50195,0.0,0.0,0.0,0.0,0.0
H,298.3,308.6,1432,49.5,91,7422.955121901963,10.300000000000011,4504.5,0,197,S50196,0.0,0.0,0.0,0.0,0.0
M,298.4,308.6,1527,40.9,96,6540.199002169767,10.200000000000044,3926.4,0,198,S50197,0.0,0.0,0.0,0.0,0.0
L,298.4,308.7,1588,35.0,99,5820.3239895506895,10.300000000000011,3465.0,0,199,S50198,0.0,0.0,0.0,0.0,0.0
L,298.4,308.6,1433,47.1,101,7067.986567972852,10.200000000000044,4757.1,0,200,S50199,0.0,0.0,0.0,0.0,0.0
L,298.4,308.6,1609,35.0,103,5897.293009563639,10.200000000000044,3605.0,0,201,S50200,0.0,0.0,0.0,0.0,0.0
L,298.3,308.5,1575,41.2,105,6795.264909714723,10.199999999999989,4326.0,0,202,S50201,0.0,0.0,0.0,0.0,0.0
M,298.4,308.5,1636,35.7,107,6116.178241714753,10.100000000000025,3819.9,0,203,S50202,0.0,0.0,0.0,0.0,0.0
